profession,title,link,date,location,workload,emp_type,company
python%20developer,Data Analyst (Focus Online-Shops),https://www.jobs.ch/en/vacancies/detail/2a56d90d-aa8a-4e66-9b6a-a56901c79fbf/,Last month,Mägenwil,80 – 100%,Unlimited employment,Brack.Alltron AG
python%20developer,Software Engineer for Testing Infrastructure,https://www.jobs.ch/en/vacancies/detail/3e3eb3df-4ddc-4323-ab6f-b4982515f94e/,2 weeks ago,Stafa,80 – 100%,Unlimited employment,Sonova AG
python%20developer,(Senior) Data Analyst Marketing (m/f/d),https://www.jobs.ch/en/vacancies/detail/aeb1d50a-523d-4413-bc88-b271df9117c9/,Last week,Zürich,80 – 100%,Unlimited employment,Digitec Galaxus AG
python%20developer,Senior Expert - Vulnerability Management & Defensive Analytics,https://www.jobs.ch/en/vacancies/detail/d32939f7-61bb-4916-ad72-9140d28d19ed/,3 weeks ago,Lachen,100%,Unlimited employment,Octapharma AG
python%20developer,Full Stack (Python/React) Developer,https://www.jobs.ch/en/vacancies/detail/e48a31fb-8ed6-476d-afe4-d89bd801f9e8/,3 months ago,Geneva,100%,Unlimited employment,Vitol SA
python%20developer,Developer Advocate,https://www.jobs.ch/en/vacancies/detail/0e63e44d-6ef7-440e-b4a7-12381da38603/,3 months ago,Remote DEU,100%,SonarSource SA,Not specified
python%20developer,Java developer,https://www.jobs.ch/en/vacancies/detail/91208553-0c56-4bdf-8a2a-98269972ce5c/,Last year,Geneva,100%,Unlimited employment,FinTeX Finance and Technology eXpertise SA
python%20developer,PL/SQL Developer,https://www.jobs.ch/en/vacancies/detail/01e67170-ea77-4613-977f-c66b2f494a98/,Last quarter,Geneva,100%,Unlimited employment,Vitol SA
python%20developer,Software Developer,https://www.jobs.ch/en/vacancies/detail/3ff63eb4-2730-4ae8-b2ef-75d3642b44f3/,2 months ago,Aachen,100%,Unlimited employment,Varo Refining (Cressier) SA
python%20developer,Senior Backend Developer,https://www.jobs.ch/en/vacancies/detail/303f4b92-65ab-4011-b1db-6abcaeef0aa2/,4 quarters ago,Plan,100%,Unlimited employment,Alohi SA
python%20developer,Data DevOps Engineer,https://www.jobs.ch/en/vacancies/detail/07957a29-fbdc-411f-a847-6af737f10794/,12 hours ago,Geneva,100%,Banque Pictet & Cie SA,Not specified
python%20developer,Senior BI Developer (w/m),https://www.jobs.ch/en/vacancies/detail/7784d2fa-0274-4bfa-8197-8427f0df9034/,2 weeks ago,Bern,80 – 100%,Unlimited employment,Galenica AG
python%20developer,Algorithm Developer Intern,https://www.jobs.ch/en/vacancies/detail/6421edcc-b3ea-41d5-9d53-0b802ab751b1/,3 weeks ago,Rolle,100%,Unlimited employment,Sophia Genetics SA
python%20developer,"Backend Developer (Telephony, Faxing)",https://www.jobs.ch/en/vacancies/detail/88eb2cfe-f3c5-4e4a-bdc6-18877f1ad830/,3 months ago,Plan-les-Ouates,100%,Unlimited employment,Alohi SA
python%20developer,Agile Developer in Test,https://www.jobs.ch/en/vacancies/detail/cbbb08d6-52ab-4bab-93a4-56731d1bc8fa/,Last year,Zürich,100%,Unlimited employment,ti&m AG
python%20developer,Senior BI Developer (w/m) 80%-100%,https://www.jobs.ch/en/vacancies/detail/2b17a6d3-1898-40b6-9223-2e879dabde72/,2 weeks ago,Bern,80 – 100%,Galenica AG,Not specified
python%20developer,Software Developer Backend (m/w/d),https://www.jobs.ch/en/vacancies/detail/3fd8c1e0-47e7-4ffd-a8a8-cba710c4161d/,Last year,Grabs,100%,Unlimited employment,Körber Pharma Packaging AG
python%20developer,Front Arena Core Risk Developer,https://www.jobs.ch/en/vacancies/detail/12101b4c-268a-4dda-ba27-c37aeae1412b/,2 weeks ago,Zürich,100%,Bank Julius Bär & Co. AG,Not specified
python%20developer,Firmware Embedded Developer - Delvitech,https://www.jobs.ch/en/vacancies/detail/4a3aeebc-77aa-48b2-887f-6a3f33a9a548/,Last quarter,Mendrisio,100%,Unlimited employment,Delvitech SA
python%20developer,Data DevOps Engineer,https://www.jobs.ch/en/vacancies/detail/2babb907-5be5-4542-b1b7-405e9072b34f/,Yesterday,Geneva,100%,Banque Pictet & Cie SA,Not specified
python%20developer,Indico Core Developer (Full-Stack) (IT-CA-CTE-2025-124-GRAP),https://www.jobs.ch/en/vacancies/detail/94f33dcf-4fdd-4c8b-95f1-65f33f667a5f/,2 weeks ago,Geneva,CERN European Organization for Nuclear Research,Not specified,Not specified
python%20developer,Front Arena Core Risk Senior Developer,https://www.jobs.ch/en/vacancies/detail/d133deb2-a3e0-44a3-b114-dc298026e31f/,2 weeks ago,Zürich,100%,Bank Julius Bär & Co. AG,Not specified
python%20developer,Teamcenter Migration Developer / DevOps Engineer,https://www.jobs.ch/en/vacancies/detail/8e22560c-22c3-4255-85b6-941833f7f0ba/,Last week,"Basel, Geneva, Zurich",100%,Unlimited employment,Capgemini Suisse SA
