profession,title,link,date,location,workload,emp_type,company,latitude,longitude
data analyst,IT-Support & Business Analyst 80 - 100%,https://www.jobs.ch/en/vacancies/detail/c5ec4efe-a820-43d4-af1a-9f608124ce4b/,Last week,cham,80 – 100%,Unlimited employment,Heusser Water Solutions AG,47.1823761,8.4611036
python developer,Software Developer (80%) - Hybrid (CH only),https://www.jobs.ch/en/vacancies/detail/67d1c404-f715-4c2a-a379-57f1d58baa9c/,12 hours ago,8001 / zürich,100%,Temporary,Albedis,47.3726868,8.5416947
python developer,Agile Developer in Test,https://www.jobs.ch/en/vacancies/detail/cd849f9e-6ee5-48bc-9062-7ec7abbb7cbe/,Yesterday,zürich,80 – 100%,Unlimited employment,ti&m AG,47.3744489,8.5410422
python developer,Senior Developer (Order Management System),https://www.jobs.ch/en/vacancies/detail/f34941f4-74aa-4633-a72f-e97427139447/,4 weeks ago,zürich,100%,Unlimited employment,Bank J. Safra Sarasin,47.3744489,8.5410422
python developer,E-COMMERCE PERFORMANCE ANALYTICS SPECIALIST 100%,https://www.jobs.ch/en/vacancies/detail/907969f3-1384-4825-b727-c917b9c2932e/,Yesterday,2501 biel/bienne,100%,Unlimited employment,Swatch AG,47.1395798,7.2467143
python developer,Senior System Test Engineer,https://www.jobs.ch/en/vacancies/detail/45a68a26-485b-4496-ad95-8a0a61212385/,Yesterday,les acacias,100%,Unlimited employment,ID Quantique SA,46.1929617,6.1304269
python developer,(Senior) PLC Software Developer for welding machines (m/f/d),https://www.jobs.ch/en/vacancies/detail/33a33395-16f4-438e-aa0a-d71a08af9c18/,4 weeks ago,schaffhausen,100%,Unlimited employment,Georg Fischer,47.6960491,8.634513
python developer,Scientific Researcher Position (80%),https://www.jobs.ch/en/vacancies/detail/ef2e99e6-4e26-49a3-a6cc-f148fb003856/,2 days ago,sion,80%,Temporary,Haute Ecole d'Ingénierie,46.2311749,7.3588795
python developer,Software Engineer,https://www.jobs.ch/en/vacancies/detail/f3935d13-1fc2-40af-8a86-ea995c167ec5/,4 weeks ago,altdorf ur,80 – 100%,Unlimited employment,Kamuno AG,46.8820732,8.6413922
python developer,E-COMMERCE PERFORMANCE ANALYTICS SPECIALIST 100%,https://www.jobs.ch/en/vacancies/detail/3159a112-b9d3-4452-9cd7-3214c784e0b8/,3 weeks ago,"2501 biel/bienne, ch-be",100%,Unlimited employment,Swatch AG,,
python developer,Data Analyst (Focus Online-Shops),https://www.jobs.ch/en/vacancies/detail/2a56d90d-aa8a-4e66-9b6a-a56901c79fbf/,Last month,mägenwil,80 – 100%,Unlimited employment,Brack.Alltron AG,47.4122258,8.2301927
python developer,Software Engineer for Testing Infrastructure,https://www.jobs.ch/en/vacancies/detail/3e3eb3df-4ddc-4323-ab6f-b4982515f94e/,2 weeks ago,stafa,80 – 100%,Unlimited employment,Sonova AG,47.2413349,8.7348747
python developer,(Senior) Data Analyst Marketing (m/f/d),https://www.jobs.ch/en/vacancies/detail/aeb1d50a-523d-4413-bc88-b271df9117c9/,Last week,zürich,80 – 100%,Unlimited employment,Digitec Galaxus AG,47.3744489,8.5410422
python developer,Senior Expert - Vulnerability Management & Defensive Analytics,https://www.jobs.ch/en/vacancies/detail/d32939f7-61bb-4916-ad72-9140d28d19ed/,3 weeks ago,lachen,100%,Unlimited employment,Octapharma AG,47.1923827,8.8523833
python developer,Full Stack (Python/React) Developer,https://www.jobs.ch/en/vacancies/detail/e48a31fb-8ed6-476d-afe4-d89bd801f9e8/,3 months ago,geneva,100%,Unlimited employment,Vitol SA,46.2017559,6.1466014
